Title,Year,Age
"Knightfall",2017,16
"The Confession Killer",2019,16
"Sophie: A Murder In West Cork",2021,18
"Call My Agent!",2015,16
"My Little Pony: Friendship Is Magic",2010,7
"Leah Remini: Scientology and the Aftermath",2016,16
"Containment",2016,16
"Z Nation",2014,16
"Emily in Paris",2020,18
"Victorious",2010,7
"Scream: The TV Series",2015,16
"Akame ga Kill!",2014,18
"Warrior Nun",2020,18
"Bad Blood",2017,18
"Young & Hungry",2014,16
"Caliphate",2020,18
"Good Witch",2015,7
"Gilmore Girls: A Year in the Life",2016,16
"Aquarius",2015,16
"Firefly Lane",2021,18
"White Gold",2017,18
"Hyperdrive",2019,7
"BEASTARS",2019,18
"Kill la Kill",2013,18
"Down to Earth with Zac Efron",2020,7
"Ancient Aliens",2010,7
"Slasher",2016,18
"Time: The Kalief Browder Story",2017,16
"Away",2020,16
"No Tomorrow",2016,7
"Locked Up",2015,18
"The Frankenstein Chronicles",2015,16
"The Ranch",2016,16
"Cursed",2020,18
"Wu Assassins",2019,18
"Mr. Sunshine",2018,18
"The Unicorn",2019,7
"Anohana: The Flower We Saw That Day",2011,16
"The Challenge",1998,16
"Gypsy",2017,18
"Fuller House",2016,7
"Killer Inside: The Mind of Aaron Hernandez",2020,18
"RESIDENT EVIL: Infinite Darkness",2021,18
"1983",2018,18
"Wet Hot American Summer: First Day of Camp",2015,16
"The Baker and the Beauty",2020,16
"Spinning Out",2020,18
"Trinkets",2019,18
"Insatiable",2018,18
"The Chalet",2018,18
"We Bare Bears",2015,7
"Gurren Lagann",2007,16
"Friends from College",2017,18
"Jericho",2006,16
"Tidelands",2018,18
"Dear White People",2017,18
"Dare Me",2019,18
"Ouran High School Host Club",2006,16
"Scooby-Doo! Mystery Incorporated",2010,7
"The Untamed",2019,16
"Stranger",2017,18
"El Chapo",2017,18
"Great News",2017,7
"The Get Down",2016,16
"The Naked Director",2019,18
"Rise of Empires: Ottoman",2020,18
"Club de Cuervos",2015,18
"Toradora!",2008,16
"The Baby-Sitters Club",2020,7
"Carole & Tuesday",2019,7
"Van Helsing",2016,16
"The Night Shift",2014,16
"Pablo Escobar, The Drug Lord",2012,18
"No Game No Life",2014,16
"The King: Eternal Monarch",2020,16
"Eden",2021,7
"Stateless",2020,16
"High Score",2020,16
"Dash & Lily",2020,7
"The Confession Tapes",2017,16
"Black Butler",2008,18
"The Rain",2018,18
"Love Is Blind",2020,18
"Trial by Media",2020,16
"Wormwood",2017,16
"Fear City: New York vs The Mafia",2020,18
"Sorjonen",2016,18
"Forged in Fire",2015,7
"Baby",2018,18
"The Disastrous Life of Saiki K.",2016,16
"The Innocence Files",2020,18
"BNA",2020,16
"The Mist",2017,16
"Halston",2021,18
"The Universe",2007,16
"Self Made: Inspired by the Life of Madam C.J. Walker",2020,18
"Shtisel",2013,16
"The Boss Baby: Back in Business",2018,7
"Puella Magi Madoka Magica",2011,16
"Sinatra: All or Nothing at All",2015,7
"Comedians in Cars Getting Coffee",2012,16
"Senora Acero",2014,16
"Dark Tourist",2018,18
"Criminal: UK",2019,18
"The Bureau of Magical Things",2018,7
"Cleverman",2016,16
"The Innocent Man",2018,18
"Norsemen",2016,18
"Pawn Stars",2009,7
"Inside Bill's Brain: Decoding Bill Gates",2019,16
"Damnation",2017,18
"From Dusk Till Dawn: The Series",2014,18
"Lovesick",2014,18
"Flint Town",2018,18
"Watership Down",2018,7
"Undercover",2019,18
"Rita",2012,16
"Dorohedoro",2020,18
"Maid Sama!",2010,16
"Mystery Science Theater 3000: The Return",2017,16
"Is It Wrong to Try to Pick Up Girls in a Dungeon?",2015,16
"Surviving R. Kelly",2019,18
"Saint Seiya",1986,7
"Flaked",2016,18
"Fate/Zero",2011,18
"Crazyhead",2016,16
"The Five",2016,7
"Requiem",2018,18
"The Valhalla Murders",2019,18
"Cardcaptor Sakura",1998,7
"Black Earth Rising",2018,16
"W/ Bob & David",2015,18
"The Trials of Gabriel Fernandez",2020,18
"She's Gotta Have It",2017,18
"Save Me",2018,16
"The Curse of Oak Island",2014,7
"Black",2017,16
"Ajin",2016,18
"Ink Master",2012,16
"Vampire Knight",2008,16
"Angel Beats!",2010,16
"Green Eggs and Ham",2019,7
"The Hollow",2018,7
"November 13: Attack on Paris",2018,18
"It's Bruno!",2019,7
"Wanted",2016,16
"Masum",2017,16
"Cable Girls",2017,18
"Lady Dynamite",2016,16
"Power Rangers",1993,7
"The Mire",2018,18
"Tabula Rasa",2017,18
"Clannad",2007,7
"Ugly Delicious",2018,18
"Fate/stay night [Unlimited Blade Works]",2014,18
"Man with a Plan",2016,7
"Rilakkuma and Kaoru",2019,7
"World War II In HD Colour",2009,7
"Boys Over Flowers",2009,16
"Meteor Garden",2018,16
"What's New, Scooby-Doo?",2002,7
"Sick Note",2017,18
"Girlboss",2017,18
"Quicksand",2019,18
"Rotten",2018,18
"The Irregulars",2021,18
"College Romance",2018,18
"Elite Short Stories: Carla Samuel",2021,18
"Bard of Blood",2019,18
"Charmed",2018,16
"The New Legends of Monkey",2018,7
"The Mind, Explained",2019,16
"Fast & Furious Spy Racers",2019,7
"Occupied",2015,16
"Toast of London",2013,16
"Patriot Act with Hasan Minhaj",2018,18
"Greatest Events of World War II in Colour",2019,16
"Offspring",2010,16
"Blown Away",2019,7
"60 Days In",2016,16
"Trese",2021,18
"Hot Girls Wanted: Turned On",2017,18
"The Heirs",2013,16
"The Curious Creations of Christine McConnell",2018,7
"Sailor Moon Crystal",2014,16
"La Reina del Sur",2011,18
"Pine Gap",2018,16
"Suburra: Blood on Rome",2017,18
"Taco Chronicles",2019,18
"She",2020,18
"Between",2015,16
"Velvet",2014,16
"Bobby Kennedy for President",2018,16
"Durarara!!",2010,16
"Hostages",2013,16
"Rhythm + Flow",2019,18
"Blue Exorcist",2011,16
"L.A.'s Finest",2019,16
"The Protector",2018,18
"Unsolved Mysteries",1987,7
"Too Hot to Handle",2020,18
"Are You The One?",2014,16
"Little Things",2016,18
"Still Game",2002,16
"Transformers: Prime",2010,7
"Tidying Up with Marie Kondo",2019,7
"Nightflyers",2018,18
"Love 101",2020,18
"Car Masters: Rust to Riches",2018,7
"WHAT / IF",2019,18
"Total Drama Island",2007,7
"Roman Empire",2016,16
"Deadwind",2018,18
"People Just Do Nothing",2014,18
"B: The Beginning",2018,18
"Somebody Feed Phil",2018,16
"Girl from Nowhere",2018,18
"Cocaine Coast",2018,18
"The Liberator",2020,7
"The Irregular at Magic High School",2014,16
"Hap and Leonard",2016,18
"Dark Desire",2020,18
"Seis Manos",2019,18
"Control Z",2020,18
"The House of Flowers",2018,18
"America's Next Top Model",2003,7
"Tribes of Europa",2021,18
"Somos.",2021,18
"The Great Heist",2020,18
"The One",2021,18
"Carmen Sandiego",2019,7
"The Chef Show",2019,18
"Traitors",2019,18
"Wet Hot American Summer: Ten Years Later",2017,16
"The Neighbor",2019,18
"Billy on the Street",2011,16
